Epoch	train_cost	val_cost	epoch_time	learing_rate
127	0.149125	0.141218	41.5144s	0.0005
128	0.149811	0.14206	42.1931s	0.0005
129	0.1496	0.141469	42.4378s	0.0005
130	0.149345	0.14139	41.8378s	0.0005
131	0.148988	0.140436	42.2372s	0.0005
132	0.149219	0.142192	41.7048s	0.0005
133	0.148931	0.140991	42.2264s	0.0005
134	0.149035	0.140685	42.4096s	0.0005
135	0.148928	0.142067	41.3569s	0.0005
136	0.149603	0.141973	41.2315s	0.0005
137	0.149066	0.14267	42.5263s	0.0005
138	0.149164	0.141154	42.1413s	0.0005
139	0.149092	0.141706	42.3126s	0.0005
140	0.149213	0.142033	41.6159s	0.0005
141	0.149487	0.141338	41.6795s	0.0005
142	0.149228	0.141284	41.523s	0.0005
143	0.149073	0.142313	41.7781s	0.0005
144	0.148996	0.141081	41.7422s	0.0005
145	0.149406	0.140953	42.6109s	0.0005
146	0.148922	0.143135	41.8242s	0.0005
147	0.148839	0.140884	42.0975s	0.0005
148	0.149141	0.141315	42.0178s	0.0005
149	0.149083	0.141288	41.5582s	0.0005
150	0.148994	0.141292	41.6163s	0.0005
151	0.148817	0.141726	41.3073s	0.0005
152	0.148379	0.142726	41.97s	0.0005
153	0.149043	0.141373	41.6654s	0.0005
154	0.148715	0.142044	42.1007s	0.0005
155	0.148655	0.140999	42.6027s	0.0005
156	0.148809	0.14119	41.8311s	0.0005
157	0.149143	0.141872	41.5494s	0.0005
158	0.148539	0.141445	41.3723s	0.0005
159	0.148599	0.141477	42.5189s	0.0005
160	0.14879	0.141126	42.0403s	0.0005
161	0.148614	0.140261	41.8491s	0.0005
162	0.14855	0.14013	41.5455s	0.0005
163	0.148435	0.141623	41.7905s	0.0005
164	0.149153	0.140105	42.3711s	0.0005
165	0.148442	0.140637	42.0516s	0.0005
166	0.14825	0.140699	41.6872s	0.0005
167	0.148489	0.140434	41.9509s	0.0005
168	0.148565	0.141624	42.0896s	0.0005
169	0.149112	0.140386	41.9616s	0.0005
170	0.148355	0.142507	41.6102s	0.0005
171	0.148104	0.140553	41.2332s	0.0005
172	0.148951	0.140352	42.5394s	0.0005
173	0.149092	0.140918	41.9749s	0.0005
174	0.148978	0.140514	41.6912s	0.0005
175	0.148632	0.140618	42.2972s	0.0005
176	0.148666	0.140298	41.315s	0.0005
177	0.148591	0.141705	42.6924s	0.0005
178	0.148414	0.140703	41.9887s	0.0005
179	0.148603	0.140314	42.0041s	0.0005
180	0.148415	0.14047	41.9076s	0.0005
181	0.148415	0.140982	42.6074s	0.0005
182	0.14888	0.140629	41.3878s	0.0005
183	0.147969	0.140094	42.1494s	0.0005
184	0.148324	0.13975	41.4779s	0.0005
185	0.148521	0.140851	41.5805s	0.0005
186	0.148249	0.141015	42.0554s	0.0005
187	0.148733	0.140862	42.048s	0.0005
188	0.148294	0.140977	41.595s	0.0005
189	0.148412	0.14069	42.1346s	0.0005
190	0.148254	0.140708	41.7385s	0.0005
191	0.148179	0.14173	42.2735s	0.0005
192	0.147868	0.140029	42.007s	0.00025
193	0.147743	0.139693	41.8252s	0.00025
194	0.148119	0.139797	42.5245s	0.00025
195	0.147251	0.139925	42.4579s	0.00025
196	0.147789	0.139429	42.0307s	0.00025
197	0.147736	0.140152	42.3295s	0.00025
198	0.147253	0.138651	41.7941s	0.00025
199	0.147302	0.139632	41.7757s	0.00025
200	0.147226	0.139208	42.1315s	0.00025
201	0.147542	0.139685	41.4301s	0.00025
202	0.147232	0.139955	41.8879s	0.00025
203	0.147557	0.138939	41.94s	0.00025
204	0.147327	0.139744	42.0439s	0.00025
205	0.147707	0.139719	41.9861s	0.00025
206	0.147213	0.139171	42.161s	0.00025
207	0.14715	0.139122	43.0268s	0.00025
208	0.147061	0.139124	41.5331s	0.00025
209	0.147243	0.139151	41.7054s	0.00025
210	0.147419	0.138898	41.767s	0.00025
211	0.147549	0.139024	42.3714s	0.00025
212	0.147511	0.139284	41.6978s	0.00025
213	0.147133	0.138751	41.623s	0.00025
214	0.147259	0.139078	42.6653s	0.00025
215	0.147342	0.139256	41.6886s	0.00025
216	0.146934	0.139399	41.9944s	0.00025
217	0.146609	0.139016	42.0291s	0.00025
218	0.147297	0.139566	42.2557s	0.00025
219	0.14692	0.138993	42.0924s	0.00025
220	0.147032	0.138856	42.0328s	0.00025
221	0.147192	0.139682	41.8212s	0.00025
222	0.14687	0.138732	41.4506s	0.00025
