Epoch	train_cost	val_cost	epoch_time	learing_rate
126	0.112465	0.111818	2345.44s	0.0005
127	0.112479	0.111103	1881.41s	0.0005
128	0.112393	0.110995	1638.56s	0.0005
129	0.112411	0.11125	1643.76s	0.0005
130	0.112377	0.110755	1645.03s	0.0005
131	0.112434	0.110529	1646.63s	0.0005
132	0.1125	0.110723	1644.81s	0.0005
133	0.112417	0.111024	1642.32s	0.0005
134	0.112407	0.111052	1641.4s	0.0005
135	0.112341	0.111234	1644.61s	0.0005
136	0.11244	0.11141	1645.38s	0.0005
137	0.112317	0.110768	1643.18s	0.0005
138	0.112411	0.110559	1640.92s	0.0005
139	0.112392	0.110346	1643.1s	0.0005
140	0.112391	0.110795	1645.9s	0.0005
141	0.112387	0.110044	1642.9s	0.0005
142	0.112384	0.11034	1643.19s	0.0005
143	0.112333	0.11059	1642.05s	0.0005
144	0.112387	0.110536	1644.26s	0.0005
145	0.112359	0.11107	1645.86s	0.0005
146	0.11237	0.11134	1642.11s	0.0005
147	0.112359	0.110883	1641.1s	0.0005
148	0.112354	0.110447	1641.96s	0.0005
149	0.112438	0.110947	1642.69s	0.0005
150	0.112358	0.111122	1642.17s	0.0005
151	0.112374	0.11086	1642.93s	0.0005
152	0.112421	0.110585	1640.38s	0.0005
153	0.112389	0.110822	1642.18s	0.0005
154	0.112329	0.110974	1642.07s	0.0005
155	0.112369	0.111045	1639.45s	0.0005
156	0.112297	0.110219	1642.69s	0.0005
157	0.11238	0.110558	1642.15s	0.0005
158	0.11241	0.110637	1638.88s	0.0005
159	0.112331	0.110728	1642.73s	0.0005
160	0.112273	0.11005	1645.12s	0.0005
161	0.112376	0.111096	1641.88s	0.0005
162	0.112347	0.110766	1640.12s	0.0005
163	0.112286	0.111163	1640.69s	0.0005
164	0.112349	0.109837	1642.03s	0.0005
165	0.112412	0.110847	1643.27s	0.0005
166	0.112293	0.110486	1642.72s	0.0005
167	0.112335	0.11071	1643.45s	0.0005
168	0.112371	0.111084	1638.51s	0.0005
169	0.112334	0.110982	1640.86s	0.0005
170	0.112311	0.110655	1642.58s	0.0005
171	0.112413	0.11067	1642.37s	0.0005
172	0.112337	0.110753	1640.33s	0.0005
173	0.112304	0.110407	1642.42s	0.0005
174	0.112254	0.110546	1644.64s	0.0005
175	0.112364	0.110363	1640.79s	0.0005
176	0.112341	0.110977	1641.04s	0.0005
177	0.112268	0.110657	1640.2s	0.0005
178	0.112321	0.11054	1640.05s	0.0005
179	0.112331	0.109777	1641.38s	0.0005
180	0.112293	0.111312	1641.27s	0.0005
181	0.112334	0.110424	1641.33s	0.0005
182	0.112235	0.11018	1642.14s	0.0005
183	0.112291	0.110359	1643.06s	0.0005
184	0.110917	0.10847	1643.61s	0.00025
185	0.110324	0.107927	1643.79s	0.00025
186	0.110118	0.108057	1644.02s	0.00025
187	0.10996	0.107599	1644.82s	0.00025
188	0.109871	0.107869	1642.47s	0.00025
189	0.109748	0.107476	1637.74s	0.00025
190	0.109757	0.10786	1640.77s	0.00025
191	0.109717	0.10761	1643.91s	0.00025
192	0.109691	0.107927	1644.29s	0.00025
193	0.109646	0.107806	1642.57s	0.00025
194	0.109654	0.107693	1645.36s	0.00025
195	0.109599	0.10764	1643.63s	0.00025
196	0.109576	0.107779	1642.17s	0.00025
197	0.109563	0.107715	1643.54s	0.00025
198	0.109501	0.107477	1640.04s	0.00025
199	0.109507	0.107617	1641.37s	0.00025
200	0.109587	0.107792	1642.21s	0.00025
201	0.109598	0.107902	1643.47s	0.00025
202	0.109517	0.107437	1641.59s	0.00025
203	0.109443	0.107504	1640.05s	0.00025
204	0.109586	0.107681	1640.1s	0.00025
205	0.10955	0.10743	1643.7s	0.00025
206	0.109491	0.107414	1638.7s	0.00025
207	0.109461	0.10773	1641.58s	0.00025
208	0.109527	0.107653	1637.82s	0.00025
209	0.109459	0.107581	1638.17s	0.00025
210	0.109447	0.107523	1638.94s	0.00025
211	0.109501	0.107755	1641.88s	0.00025
212	0.109411	0.107295	1641.59s	0.00025
213	0.109414	0.107501	1641.94s	0.00025
214	0.109491	0.107322	1642.4s	0.00025
215	0.109453	0.107537	1643.08s	0.00025
216	0.109395	0.107298	1640.59s	0.00025
217	0.109459	0.107428	1642.11s	0.00025
218	0.109374	0.107817	1638.93s	0.00025
219	0.109436	0.107532	1637.4s	0.00025
220	0.109392	0.107578	1642.28s	0.00025
221	0.109371	0.107362	1643.41s	0.00025
222	0.10946	0.107231	1642.65s	0.00025
223	0.109402	0.108651	1641.92s	0.00025
224	0.109474	0.107556	1640.22s	0.00025
225	0.109433	0.10736	1643.06s	0.00025
